index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[571970],6.905,1.067,5.035,8.943,0.038,0.023,768.0,1116.0,1.01
1|batter[572138],-3.483,0.876,-5.081,-1.879,0.051,0.016,294.0,1539.0,1.02
1|batter[572191],3.955,0.813,2.482,5.43,0.044,0.017,335.0,718.0,1.02
1|batter[572233],-0.028,0.671,-1.345,1.207,0.031,0.013,446.0,1384.0,1.01
1|batter[572761],-3.279,1.253,-5.449,-0.897,0.041,0.026,942.0,1233.0,1.0
1|batter[573262],4.086,0.764,2.743,5.57,0.051,0.016,235.0,1141.0,1.02
1|batter[575929],-5.103,0.672,-6.385,-3.859,0.034,0.014,386.0,1090.0,1.02
1|batter[578428],0.278,0.766,-1.127,1.651,0.03,0.015,646.0,1209.0,1.01
1|batter[592178],-1.472,1.235,-3.696,0.822,0.034,0.024,1329.0,1265.0,1.01
1|batter[592192],3.115,0.775,1.734,4.587,0.031,0.017,632.0,1242.0,1.01
1|batter[592200],2.259,1.547,-0.675,5.219,0.046,0.031,1117.0,1305.0,1.0
1|batter[592206],-8.732,0.624,-9.861,-7.566,0.061,0.014,106.0,1062.0,1.03
1|batter[592273],3.934,0.881,2.338,5.566,0.03,0.017,899.0,1243.0,1.01
1|batter[592325],2.153,1.512,-0.654,4.946,0.043,0.033,1247.0,1323.0,1.0
1|batter[592348],-1.884,2.179,-5.978,2.349,0.056,0.044,1522.0,1434.0,1.0
1|batter[592450],-12.862,0.631,-14.088,-11.664,0.035,0.014,323.0,916.0,1.02
1|batter[592518],3.301,0.624,2.156,4.451,0.044,0.013,209.0,1223.0,1.03
1|batter[592626],-7.007,0.696,-8.279,-5.657,0.035,0.015,388.0,1280.0,1.02
1|batter[592663],-1.703,0.716,-3.022,-0.414,0.054,0.015,187.0,1174.0,1.02
1|batter[592669],4.063,0.969,2.277,5.827,0.041,0.02,564.0,1380.0,1.01
1|batter[592696],-1.711,0.839,-3.188,-0.034,0.036,0.018,549.0,1365.0,1.01
1|batter[592885],0.611,0.802,-0.892,2.035,0.06,0.015,184.0,1271.0,1.02
1|batter[593160],-0.503,0.85,-2.173,1.008,0.036,0.018,573.0,1096.0,1.01
1|batter[593428],2.03,0.841,0.427,3.547,0.036,0.021,556.0,768.0,1.01
1|batter[593871],-5.359,0.799,-6.95,-3.97,0.031,0.018,678.0,1182.0,1.01
1|batter[593934],-7.57,1.266,-10.107,-5.36,0.034,0.028,1388.0,1238.0,1.01
1|batter[594807],-3.701,0.88,-5.287,-2.058,0.032,0.02,755.0,1355.0,1.01
1|batter[595281],-7.225,0.776,-8.672,-5.715,0.043,0.017,334.0,1235.0,1.02
1|batter[595284],-1.354,3.288,-7.983,4.41,0.07,0.076,2184.0,1240.0,1.0
1|batter[595777],2.86,0.636,1.647,3.962,0.054,0.015,142.0,723.0,1.03
1|batter[595879],-6.578,0.818,-8.056,-5.028,0.037,0.017,469.0,1096.0,1.01
1|batter[595909],0.41,0.697,-0.857,1.726,0.053,0.014,170.0,1511.0,1.02
1|batter[595978],1.663,1.261,-0.898,3.835,0.039,0.025,1067.0,1434.0,1.0
1|batter[596019],3.359,0.619,2.217,4.562,0.036,0.013,320.0,790.0,1.02
1|batter[596103],7.684,0.987,5.685,9.405,0.039,0.021,631.0,1401.0,1.01
1|batter[596115],3.01,1.697,0.021,6.347,0.049,0.034,1206.0,1356.0,1.0
