index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[571970],1.723,0.944,-0.055,3.503,0.026,0.023,1352.0,1366.0,1.0
1|batter[572138],0.817,0.774,-0.653,2.195,0.027,0.018,840.0,1248.0,1.0
1|batter[572191],5.228,0.698,3.908,6.484,0.025,0.014,819.0,1444.0,1.01
1|batter[572233],-2.416,0.577,-3.452,-1.336,0.019,0.012,956.0,1325.0,1.0
1|batter[572761],4.881,1.091,2.924,6.913,0.026,0.023,1738.0,1344.0,1.0
1|batter[573262],6.094,0.668,4.9,7.372,0.028,0.014,591.0,1397.0,1.01
1|batter[575929],4.557,0.621,3.383,5.686,0.024,0.013,662.0,1097.0,1.01
1|batter[578428],-2.142,0.671,-3.39,-0.829,0.024,0.015,801.0,1160.0,1.0
1|batter[592178],4.516,1.089,2.452,6.544,0.027,0.024,1581.0,1226.0,1.0
1|batter[592192],3.882,0.657,2.758,5.243,0.022,0.015,889.0,1230.0,1.0
1|batter[592200],-4.384,1.359,-6.954,-1.986,0.032,0.029,1827.0,1518.0,1.0
1|batter[592206],-0.435,0.553,-1.493,0.566,0.022,0.012,598.0,1367.0,1.01
1|batter[592273],1.091,0.797,-0.376,2.637,0.03,0.017,708.0,1200.0,1.01
1|batter[592325],-2.855,1.297,-5.36,-0.501,0.034,0.031,1429.0,1404.0,1.0
1|batter[592348],-1.502,2.071,-5.107,2.53,0.05,0.046,1750.0,1354.0,1.0
1|batter[592450],1.209,0.548,0.135,2.164,0.024,0.012,508.0,1199.0,1.01
1|batter[592518],3.727,0.536,2.697,4.739,0.023,0.011,526.0,1045.0,1.01
1|batter[592626],2.028,0.615,0.904,3.173,0.019,0.014,1028.0,1180.0,1.01
1|batter[592663],4.993,0.622,3.865,6.169,0.025,0.015,616.0,1206.0,1.01
1|batter[592669],1.995,0.817,0.581,3.574,0.022,0.019,1375.0,1122.0,1.01
1|batter[592696],5.617,0.741,4.194,7.009,0.02,0.018,1365.0,1235.0,1.0
1|batter[592885],-2.069,0.689,-3.282,-0.73,0.028,0.015,610.0,1404.0,1.01
1|batter[593160],-3.632,0.777,-5.113,-2.272,0.025,0.019,969.0,1274.0,1.01
1|batter[593428],-5.975,0.753,-7.517,-4.664,0.021,0.016,1325.0,1177.0,1.0
1|batter[593871],-3.603,0.686,-4.847,-2.32,0.02,0.016,1239.0,1406.0,1.0
1|batter[593934],2.843,1.129,0.796,5.07,0.031,0.024,1331.0,1214.0,1.0
1|batter[594807],8.525,0.84,6.976,10.101,0.031,0.017,723.0,1508.0,1.01
1|batter[595281],-0.917,0.72,-2.316,0.377,0.032,0.018,514.0,863.0,1.01
1|batter[595284],3.574,2.967,-1.935,9.262,0.067,0.068,1997.0,1072.0,1.0
1|batter[595777],-2.212,0.574,-3.252,-1.105,0.026,0.013,480.0,1104.0,1.01
1|batter[595879],4.368,0.768,2.975,5.872,0.023,0.022,1138.0,1394.0,1.01
1|batter[595909],1.711,0.6,0.617,2.848,0.025,0.013,566.0,1257.0,1.01
1|batter[595978],5.884,1.142,3.642,7.983,0.029,0.026,1515.0,1458.0,1.0
1|batter[596019],2.445,0.58,1.27,3.448,0.032,0.014,324.0,951.0,1.01
1|batter[596103],1.221,0.916,-0.537,2.955,0.026,0.022,1212.0,1176.0,1.0
1|batter[596115],-1.053,1.525,-3.96,1.781,0.038,0.038,1636.0,1074.0,1.0
1|batter[596117],3.623,0.775,2.248,5.124,0.024,0.018,1076.0,908.0,1.0
1|batter[596129],0.6,2.197,-3.569,4.403,0.058,0.05,1438.0,1228.0,1.0
1|batter[596142],2.835,0.957,0.874,4.495,0.027,0.025,1292.0,1205.0,1.0
1|batter[596146],-8.918,0.731,-10.421,-7.712,0.026,0.016,796.0,1203.0,1.01
1|batter[600869],5.637,0.59,4.533,6.737,0.021,0.013,830.0,1164.0,1.01
1|batter[602104],11.22,0.693,9.994,12.583,0.024,0.014,835.0,1440.0,1.01
1|batter[605113],5.002,0.976,3.172,6.855,0.031,0.023,1026.0,1342.0,1.01
1|batter[605119],0.828,4.802,-8.075,10.033,0.087,0.12,3032.0,1545.0,1.0
1|batter[605131],-0.936,0.992,-2.741,0.969,0.025,0.022,1529.0,1410.0,1.0
1|batter[605137],5.573,0.499,4.649,6.498,0.021,0.01,552.0,1361.0,1.01
1|batter[605141],-7.334,0.772,-8.824,-5.886,0.025,0.018,969.0,1057.0,1.0
1|batter[605170],-6.905,0.904,-8.575,-5.24,0.023,0.023,1568.0,1368.0,1.0
1|batter[605204],5.583,0.912,3.913,7.387,0.023,0.022,1614.0,1293.0,1.0
1|batter[605244],5.279,3.621,-0.977,12.517,0.088,0.083,1694.0,1529.0,1.01
1|batter[605346],-1.685,1.175,-3.877,0.488,0.025,0.029,2160.0,1357.0,1.01
1|batter[605361],5.763,1.011,3.854,7.603,0.026,0.022,1472.0,1684.0,1.0
1|batter[606115],6.91,0.59,5.795,7.97,0.026,0.013,500.0,1010.0,1.01
1|batter[606192],1.97,0.533,0.982,2.991,0.023,0.012,549.0,934.0,1.01
1|batter[606466],-2.965,0.642,-4.056,-1.616,0.018,0.017,1328.0,1094.0,1.01
1|batter[606992],7.785,1.223,5.686,10.25,0.028,0.03,1952.0,1451.0,1.0
1|batter[607043],0.42,0.523,-0.473,1.457,0.023,0.012,534.0,1068.0,1.01
1|batter[607054],-9.217,2.859,-14.511,-4.032,0.064,0.076,2013.0,1050.0,1.0
1|batter[607208],7.921,0.566,6.821,8.945,0.026,0.012,491.0,1360.0,1.01
1|batter[607680],0.135,0.836,-1.444,1.707,0.027,0.021,925.0,1169.0,1.0
1|batter[607732],3.652,0.789,2.246,5.233,0.025,0.018,973.0,1218.0,1.01
1|batter[608070],1.804,0.604,0.752,2.989,0.028,0.013,483.0,1244.0,1.01
1|batter[608324],4.726,0.639,3.56,5.93,0.021,0.013,960.0,1400.0,1.01
1|batter[608336],0.81,1.045,-1.177,2.715,0.03,0.022,1295.0,1485.0,1.01
1|batter[608348],1.234,0.796,-0.231,2.771,0.025,0.02,993.0,1235.0,1.01
1|batter[608369],-1.475,0.673,-2.758,-0.203,0.02,0.014,1089.0,1369.0,1.0
1|batter[608385],4.818,0.642,3.653,6.074,0.023,0.013,795.0,1345.0,1.01
1|batter[608596],6.417,1.804,3.215,9.916,0.04,0.043,2041.0,1394.0,1.0
1|batter[608671],-10.622,0.767,-11.929,-9.089,0.026,0.017,867.0,1332.0,1.0
1|batter[608701],5.113,0.727,3.762,6.476,0.02,0.014,1374.0,1417.0,1.01
1|batter[608841],-4.287,0.782,-5.785,-2.9,0.03,0.016,684.0,952.0,1.01
1|batter[609280],1.956,0.783,0.458,3.364,0.031,0.018,647.0,1044.0,1.01
1|batter[613564],2.149,2.395,-2.42,6.45,0.057,0.05,1767.0,1301.0,1.0
1|batter[620443],5.534,1.091,3.555,7.628,0.031,0.026,1197.0,1108.0,1.0
1|batter[621020],5.169,0.625,3.977,6.304,0.024,0.013,667.0,1301.0,1.01
1|batter[621028],-6.29,0.792,-7.775,-4.915,0.026,0.016,961.0,1409.0,1.0
1|batter[621035],-6.156,0.814,-7.761,-4.692,0.022,0.02,1319.0,1441.0,1.0
1|batter[621043],-1.816,0.638,-2.992,-0.65,0.023,0.013,782.0,1407.0,1.01
1|batter[621311],12.386,1.186,10.115,14.491,0.026,0.024,2040.0,1442.0,1.0
1|batter[621438],0.152,0.742,-1.208,1.59,0.023,0.018,1048.0,1384.0,1.01
