index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[575929],5.563,0.745,4.22,6.963,0.015,0.015,2490.0,1361.0,1.0
1|batter[578428],-2.241,0.82,-3.773,-0.681,0.015,0.017,3030.0,1312.0,1.0
1|batter[592178],1.631,2.131,-2.335,5.698,0.036,0.054,3522.0,1460.0,1.0
1|batter[592192],-0.05,1.525,-3.071,2.613,0.026,0.036,3416.0,1429.0,1.01
1|batter[592206],-0.388,0.817,-1.905,1.097,0.014,0.021,3397.0,1581.0,1.0
1|batter[592273],1.676,3.729,-5.164,8.957,0.081,0.089,2122.0,1505.0,1.0
1|batter[592450],6.166,0.843,4.562,7.734,0.014,0.019,3697.0,1695.0,1.0
1|batter[592518],3.307,0.749,1.99,4.737,0.014,0.016,2664.0,1626.0,1.0
1|batter[592626],3.48,1.028,1.568,5.408,0.016,0.026,3950.0,1528.0,1.0
1|batter[592663],0.74,0.794,-0.715,2.198,0.015,0.016,2784.0,1604.0,1.0
1|batter[592669],1.951,2.412,-2.695,6.468,0.037,0.071,4207.0,1191.0,1.0
1|batter[592696],2.421,3.144,-3.278,8.326,0.063,0.072,2472.0,1505.0,1.0
1|batter[592885],1.287,0.677,0.004,2.572,0.014,0.015,2252.0,1396.0,1.0
1|batter[593428],-4.181,1.216,-6.614,-2.026,0.021,0.026,3203.0,1651.0,1.0
1|batter[593871],-1.149,1.004,-3.08,0.596,0.018,0.023,3044.0,1434.0,1.0
1|batter[595453],1.765,4.138,-5.252,9.727,0.088,0.087,2198.0,1718.0,1.0
1|batter[595751],6.995,1.581,4.094,10.031,0.029,0.036,2905.0,1464.0,1.0
1|batter[595777],-4.239,1.191,-6.497,-2.059,0.02,0.028,3482.0,1600.0,1.0
1|batter[595879],4.881,0.818,3.405,6.448,0.016,0.018,2700.0,1566.0,1.0
1|batter[595978],-4.198,1.678,-7.318,-1.072,0.026,0.047,4128.0,1431.0,1.0
1|batter[596019],-2.589,0.812,-4.051,-1.071,0.013,0.018,3764.0,1629.0,1.0
